"ProjectNumber","Year","Budget","GrantType","Topic","Country","City"
101019006,2020,2499958,"Advanced Grants","SH5 - Cultures & Cultural Production","DE","HAMBURG"
682809,2015,2000000,"Consolidator Grants","LS6 - Immunity, Infection & Immunotherapy","FR","Paris"
261166,2010,1488512,"Starting Grants","LS6 - Immunity, Infection & Immunotherapy","FR","Paris"
101113389,2022,150000,"Proof Of Concept","Proof of Concept","IL",NA
813228,2018,150000,"Proof Of Concept","Proof of Concept","IL","HAIFA"
677772,2015,1937500,"Starting Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","IL","HAIFA"
101020762,2020,2496146,"Advanced Grants","SH4 - The Human Mind and its Complexity","FI","HELSINKI"
639459,2014,1266750,"Starting Grants","PE9 - Universe Sciences","SE","Gothenburg"
101114653,2023,2123241,"Starting Grants","PE11 - Materials Engineering","FI",NA
101020082,2020,2499192,"Advanced Grants","SH2 - Institutions, Governance & Legal Systems","NL","AMSTERDAM"
320651,2012,1739000,"Advanced Grants","PE2 - Fundamental Constituents of Matter","NL","UTRECHT"
639907,2014,1999044,"Starting Grants","PE4 - Physical & Analytical Chemical Sciences","UK","COVENTRY"
682426,2015,2000000,"Consolidator Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","HU","Budapest"
281511,2011,1441119,"Starting Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","AT","KLOSTERNEUBURG"
670146,2014,2159574,"Advanced Grants","LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions","ES","BARCELONA"
804581,2018,1552948,"Starting Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","UK","ST ANDREWS"
949660,2020,1500000,"Starting Grants","PE7 - Systems & Communication Engineering","UK","LONDON"
101123165,2023,150000,"Proof Of Concept","Proof of Concept","ES",NA
724173,2016,1986178,"Consolidator Grants","LS8 - Environmental Biology, Ecology & Evolution","ES","Barcelona"
310325,2012,1302113,"Starting Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","ES","BARCELONA"
101089083,2022,1994875,"Consolidator Grants","SH2 - Institutions, Governance & Legal Systems","ES",NA
950013,2020,1499709,"Starting Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","ES","MADRID"
101097688,2022,2498004,"Advanced Grants","PE8 - Products & Processes Engineering","ES",NA
282047,2011,1500000,"Starting Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","UK","LONDON"
230246,2008,1580000,"Advanced Grants","SH6 - The Study of the Human Past","ES","BARCELONA"
101086807,2022,1996550,"Consolidator Grants","PE3 - Condensed Matter Physics","FR",NA
101055120,2021,2795294,"Advanced Grants","PE2 - Fundamental Constituents of Matter","ES","SAN SEBASTIAN"
957527,2020,150000,"Proof Of Concept","Proof of Concept","ES","BARCELONA"
727297,2016,149962,"Proof Of Concept","Proof of Concept","ES","BARCELONA"
336917,2013,1498452,"Starting Grants","PE7 - Systems & Communication Engineering","ES","BARCELONA"
677697,2015,1450075,"Starting Grants","PE6 - Computer Science & Informatics","UK","LONDON"
240739,2009,909942,"Starting Grants","SH1 - Individuals, Markets & Organisations ","ES",NA
742102,2016,1872969,"Advanced Grants","PE2 - Fundamental Constituents of Matter","DE","MUNCHEN"
101041308,2021,1500000,"Starting Grants","LS4 - Physiology in Health, Disease & Ageing","NL","AMSTERDAM"
339787,2013,2791771,"Advanced Grants","PE2 - Fundamental Constituents of Matter","ES","SAN SEBASTIAN"
101045394,2021,1999338,"Consolidator Grants","PE11 - Materials Engineering","ES","Getafe"
101069349,2022,150000,"Proof Of Concept","Proof of Concept","ES","Getafe"
678565,2015,1448787,"Starting Grants","PE5 - Synthetic Chemistry & Materials","ES","Getafe"
963912,2020,150000,"Proof Of Concept","Proof of Concept","ES","Getafe"
340863,2013,2431771,"Advanced Grants","PE10 - Earth System Science","ES","MADRID"
101069348,2022,150000,"Proof Of Concept","Proof of Concept","ES","MADRID"
837874,2018,149625,"Proof Of Concept","Proof of Concept","ES","MADRID"
312519,2012,1305973,"Starting Grants","SH4 - The Human Mind and its Complexity","ES","BARCELONA"
755705,2017,1203125,"Starting Grants","PE7 - Systems & Communication Engineering","ES","Malaga"
101116064,2023,1500000,"Starting Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","SE",NA
335260,2013,1330502,"Starting Grants","PE2 - Fundamental Constituents of Matter","NL","Amsterdam"
790429,2017,149894,"Proof Of Concept","Proof of Concept","ES","BARCELONA"
726141,2016,1999342,"Consolidator Grants","SH3 - The Social World and its Diversity","NL","LEIDEN"
773202,2017,1621250,"Consolidator Grants","SH4 - The Human Mind and its Complexity","IT","PADOVA"
771849,2017,1990314,"Consolidator Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","HU","Budapest"
240885,2009,1611970,"Starting Grants","SH4 - The Human Mind and its Complexity","NL","LEIDEN"
948467,2020,1261336,"Starting Grants","PE9 - Universe Sciences","CH","ZURICH"
340087,2013,2365000,"Advanced Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","IL","TEL AVIV"
101001295,2020,2000000,"Consolidator Grants","SH4 - The Human Mind and its Complexity","CH","ZURICH"
101088954,2022,1900285,"Consolidator Grants","SH4 - The Human Mind and its Complexity","ES",NA
882929,2019,1913521,"Advanced Grants","PE8 - Products & Processes Engineering","UK","CAMBRIDGE"
779444,2017,142324,"Proof Of Concept","Proof of Concept","UK","CAMBRIDGE"
680951,2015,1999665,"Consolidator Grants","LS8 - Environmental Biology, Ecology & Evolution","UK","LONDON"
260233,2010,1350804,"Starting Grants","LS8 - Environmental Biology, Ecology & Evolution","UK","LONDON"
949667,2020,1818637,"Starting Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","DE","TUBINGEN"
101077209,2022,1499954,"Starting Grants","PE10 - Earth System Science","DE","Bremerhaven"
773079,2017,2000000,"Consolidator Grants","SH4 - The Human Mind and its Complexity","NL","NIJMEGEN"
247276,2009,1565873,"Advanced Grants","PE5 - Synthetic Chemistry & Materials","UK","CAMBRIDGE"
788448,2017,2494685,"Advanced Grants","SH3 - The Social World and its Diversity","FI","HELSINKI"
263557,2010,1292502,"Starting Grants","SH6 - The Study of the Human Past","UK","OXFORD"
834175,2018,2176702,"Advanced Grants","PE1 - Mathematics","UK","OXFORD"
694105,2015,1272894,"Advanced Grants","SH5 - Cultures & Cultural Production","UK","OXFORD"
101044873,2021,2000000,"Consolidator Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","DE","HEIDELBERG"
670478,2014,2487475,"Advanced Grants","PE7 - Systems & Communication Engineering","CH","ZURICH"
693184,2015,150000,"Proof Of Concept","Proof of Concept","AT","VIENNA"
101078132,2022,1499749,"Starting Grants","SH2 - Institutions, Governance & Legal Systems","AT","Vienna"
101044724,2021,1999629,"Consolidator Grants","PE6 - Computer Science & Informatics","DE","Bonn"
677650,2015,1499875,"Starting Grants","PE6 - Computer Science & Informatics","DE","Bonn"
695642,2015,2800000,"Advanced Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","AT","VIENNA"
250342,2009,2499875,"Advanced Grants","LS3 - Cellular, Developmental & Regenerative Biology","AT","VIENNA"
742870,2016,2500000,"Advanced Grants","PE6 - Computer Science & Informatics","CH","LUGANO"
649053,2014,1998375,"Consolidator Grants","LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions","FI","HELSINKI"
852428,2019,1645000,"Starting Grants","PE3 - Condensed Matter Physics","FI","JYVASKYLA"
336152,2013,1280680,"Starting Grants","SH4 - The Human Mind and its Complexity","UK","London"
742158,2016,2499961,"Advanced Grants","LS8 - Environmental Biology, Ecology & Evolution","NO","OSLO"
239784,2009,550000,"Starting Grants","PE1 - Mathematics","FI","HELSINKI"
283763,2011,1397351,"Starting Grants","SH4 - The Human Mind and its Complexity","FI","TAMPERE"
640679,2014,148709,"Proof Of Concept","Proof of Concept","FI","TAMPERE"
742559,2016,2418002,"Advanced Grants","PE3 - Condensed Matter Physics","FI","ESPOO"
233285,2008,2500000,"Advanced Grants","LS4 - Physiology in Health, Disease & Ageing","SE","STOCKHOLM"
946629,2020,1395375,"Starting Grants","PE3 - Condensed Matter Physics","ES","DONOSTIA - SAN SEBASTIAN"
694581,2015,2462015,"Advanced Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","UK","OXFORD"
101110473,2023,1499864,"Starting Grants","SH5 - Cultures & Cultural Production","DE",NA
865463,2019,1999522,"Consolidator Grants","SH6 - The Study of the Human Past","DE","MUNCHEN"
313668,2012,1497460,"Starting Grants","SH6 - The Study of the Human Past","DE","MUNCHEN"
948516,2020,1404215,"Starting Grants","SH1 - Individuals, Markets & Organisations ","FR","PARIS"
772070,2017,1870665,"Consolidator Grants","SH2 - Institutions, Governance & Legal Systems","UK","London"
617678,2013,1314131,"Consolidator Grants","SH4 - The Human Mind and its Complexity","UK","BRIGHTON"
803740,2018,1670323,"Starting Grants","PE2 - Fundamental Constituents of Matter","NL","GRONINGEN"
101087590,2022,1999723,"Consolidator Grants","SH2 - Institutions, Governance & Legal Systems","DE",NA
757563,2017,1482672,"Starting Grants","LS9 - Biotechnology & Biosystems Engineering","DE","JULICH"
852222,2019,1498925,"Starting Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","DE","DRESDEN"
101076441,2022,1500000,"Starting Grants","LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions","NL","GRONINGEN"
203749,2007,744000,"Starting Grants","PE5 - Synthetic Chemistry & Materials","FR","PARIS"
101117888,2023,1475751,"Starting Grants","SH3 - The Social World and its Diversity","DK",NA
101002816,2020,1898233,"Consolidator Grants","SH5 - Cultures & Cultural Production","AT","VIENNA"
948525,2020,2493790,"Starting Grants","PE4 - Physical & Analytical Chemical Sciences","UK","LEEDS"
760067,2017,1228125,"Starting Grants","LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions","DE","HEIDELBERG"
291234,2011,1583887,"Advanced Grants","PE3 - Condensed Matter Physics","UK","OXFORD"
788563,2017,1847596,"Advanced Grants","SH3 - The Social World and its Diversity","UK","BRISTOL"
803992,2018,1489725,"Starting Grants","LS6 - Immunity, Infection & Immunotherapy","DE","BERLIN"
250326,2009,1451943,"Advanced Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","UK","London"
716358,2016,1499966,"Starting Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","CH","LAUSANNE"
875410,2019,150000,"Proof Of Concept","Proof of Concept","UK","BRIGHTON"
101042884,2021,1500000,"Starting Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","FR","PARIS"
668991,2014,2499980,"Advanced Grants","LS8 - Environmental Biology, Ecology & Evolution","CH","ZURICH"
883077,2019,2500000,"Advanced Grants","LS8 - Environmental Biology, Ecology & Evolution","CH","ZURICH"
281824,2011,1496899,"Starting Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","UK","OXFORD"
726168,2016,1381250,"Consolidator Grants","SH1 - Individuals, Markets & Organisations ","ES","BARCELONA"
834692,2018,2500000,"Advanced Grants","LS4 - Physiology in Health, Disease & Ageing","UK","LONDON"
948819,2020,1142899,"Starting Grants","PE1 - Mathematics","AT","KLOSTERNEUBURG"
866239,2019,1988710,"Consolidator Grants","SH5 - Cultures & Cultural Production","UK","London"
101117882,2023,1499334,"Starting Grants","PE2 - Fundamental Constituents of Matter","AT",NA
101116713,2023,1416204,"Starting Grants","PE6 - Computer Science & Informatics","DE",NA
694733,2015,2496521,"Advanced Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","UK","CAMBRIDGE"
101077260,2022,1496246,"Starting Grants","PE10 - Earth System Science","DE","KARLSRUHE"
101040409,2021,1498750,"Starting Grants","PE2 - Fundamental Constituents of Matter","DE","Bonn"
801750,2018,1497375,"Starting Grants","LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions","DE","MUNCHEN"
852065,2019,1474125,"Starting Grants","PE8 - Products & Processes Engineering","DE","Dresden"
101054550,2021,2402184,"Advanced Grants","SH6 - The Study of the Human Past","DE","POTSDAM"
945528,2020,1495000,"Starting Grants","LS6 - Immunity, Infection & Immunotherapy","DE","MUNCHEN"
101043504,2021,1955208,"Consolidator Grants","SH5 - Cultures & Cultural Production","DE","Berlin"
101020684,2020,2462587,"Advanced Grants","PE3 - Condensed Matter Physics","FR","PARIS"
682955,2015,1907767,"Consolidator Grants","PE3 - Condensed Matter Physics","FR","PARIS"
259068,2010,1495803,"Starting Grants","PE3 - Condensed Matter Physics","FR","PARIS"
101089080,2022,2000000,"Consolidator Grants","LS6 - Immunity, Infection & Immunotherapy","FR","PARIS"
101042537,2021,1750000,"Starting Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","NL","ROTTERDAM"
646788,2014,1964199,"Consolidator Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","FR","PARIS"
948135,2020,1499405,"Starting Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","FR","PARIS"
101069310,2022,150000,"Proof Of Concept","Proof of Concept","DE","ERLANGEN"
647281,2014,1938655,"Consolidator Grants","PE5 - Synthetic Chemistry & Materials","DE","ERLANGEN"
803079,2018,1495000,"Starting Grants","PE2 - Fundamental Constituents of Matter","FR","PARIS"
101089318,2022,1998045,"Consolidator Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","FR",NA
817779,2018,1983565,"Consolidator Grants","LS8 - Environmental Biology, Ecology & Evolution","FR","PARIS"
101157728,2023,150000,"Proof Of Concept","Proof of Concept","FR",NA
678302,2015,1300000,"Starting Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","FR","Villeurbanne"
819179,2018,1561563,"Consolidator Grants","LS3 - Cellular, Developmental & Regenerative Biology","FR","PARIS"
306633,2012,1452818,"Starting Grants","PE7 - Systems & Communication Engineering","FR","PARIS"
787539,2017,3494784,"Advanced Grants","PE2 - Fundamental Constituents of Matter","FR","PARIS"
966740,2020,150000,"Proof Of Concept","Proof of Concept","UK","LONDON"
772462,2017,1999389,"Consolidator Grants","PE5 - Synthetic Chemistry & Materials","UK","LONDON"
771829,2017,1759414,"Consolidator Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","FR","PARIS"
682938,2015,2000000,"Consolidator Grants","LS4 - Physiology in Health, Disease & Ageing","UK","LONDON"
863464,2019,1998245,"Consolidator Grants","PE6 - Computer Science & Informatics","FR","PARIS"
101097755,2022,2498750,"Advanced Grants","PE2 - Fundamental Constituents of Matter","FR",NA
307450,2012,1500000,"Starting Grants","PE2 - Fundamental Constituents of Matter","FR","Sorbonne"
726206,2016,1859656,"Consolidator Grants","SH6 - The Study of the Human Past","FR","Marseille"
101087696,2022,1999375,"Consolidator Grants","PE6 - Computer Science & Informatics","FR",NA
714381,2016,1498465,"Starting Grants","PE6 - Computer Science & Informatics","FR","LE CHESNAY CEDEX"
861942,2019,150000,"Proof Of Concept","Proof of Concept","UK","EDINBURGH"
336289,2013,1382202,"Starting Grants","PE4 - Physical & Analytical Chemical Sciences","UK","EDINBURGH"
101087826,2022,2955000,"Consolidator Grants","PE4 - Physical & Analytical Chemical Sciences","AT","VIENNA"
754654,2016,149951,"Proof Of Concept","Proof of Concept","UK","EDINBURGH"
715975,2016,1498856,"Starting Grants","LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions","DK","COPENHAGEN"
818266,2018,1999868,"Consolidator Grants","PE4 - Physical & Analytical Chemical Sciences",NA,"FR"
336331,2013,1499052,"Starting Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","FR","Paris"
648617,2014,1683120,"Consolidator Grants","LS8 - Environmental Biology, Ecology & Evolution","DE","KOLN"
101044937,2021,2000000,"Consolidator Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","FR","PARIS"
820133,2018,1998596,"Consolidator Grants","PE7 - Systems & Communication Engineering","FR","PARIS"
682077,2015,1917713,"Consolidator Grants","SH2 - Institutions, Governance & Legal Systems","NL","TILBURG"
101077842,2022,1474182,"Starting Grants","PE11 - Materials Engineering","DE","MUNCHEN"
804824,2018,1290525,"Starting Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","DE","MUNCHEN"
648304,2014,1999063,"Consolidator Grants","PE5 - Synthetic Chemistry & Materials","ES","Tarragona"
682181,2015,1999530,"Consolidator Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","AT","VIENNA"
260711,2010,1500000,"Starting Grants","LS3 - Cellular, Developmental & Regenerative Biology","AT","VIENNA"
101078829,2022,1492751,"Starting Grants","PE8 - Products & Processes Engineering","FI",NA
862485,2019,150000,"Proof Of Concept","Proof of Concept","AT","VIENNA"
340025,2013,2499920,"Advanced Grants","PE8 - Products & Processes Engineering","AT","VIENNA"
899609,2019,150000,"Proof Of Concept","Proof of Concept","DE","Wurzburg"
617989,2013,1994200,"Consolidator Grants","PE8 - Products & Processes Engineering","DE","Wurzburg"
232908,2008,2495600,"Advanced Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","DE","Freiburg"
267087,2010,1500000,"Advanced Grants","PE1 - Mathematics","DE","MUNCHEN"
639478,2014,1441125,"Starting Grants","LS3 - Cellular, Developmental & Regenerative Biology","AT","Vienna"
322865,2012,2440200,"Advanced Grants","LS6 - Immunity, Infection & Immunotherapy","DE","MUNCHEN"
742685,2016,2500000,"Advanced Grants","PE8 - Products & Processes Engineering","CH","LAUSANNE"
834154,2018,2492938,"Advanced Grants","LS6 - Immunity, Infection & Immunotherapy","DE","MUNCHEN"
101113226,2022,150000,"Proof Of Concept","Proof of Concept","DE","SAARBRUCKEN"
714797,2016,1496382,"Starting Grants","PE6 - Computer Science & Informatics","DE","SAARBRUCKEN"
802791,2018,1812143,"Starting Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","NL","EINDHOVEN"
824985,2018,148318,"Proof Of Concept","Proof of Concept","UK","Sheffield"
309944,2012,1307407,"Starting Grants","LS9 - Biotechnology & Biosystems Engineering","UK","Sheffield"
101076687,2022,1500000,"Starting Grants","PE8 - Products & Processes Engineering","NO","Bergen"
282118,2011,1496403,"Starting Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","UK","LONDON"
101087368,2022,1998313,"Consolidator Grants","PE11 - Materials Engineering","ES","BARCELONA"
262761,2010,793999,"Starting Grants","SH2 - Institutions, Governance & Legal Systems","BE","Brussels"
819127,2018,1954831,"Consolidator Grants","PE2 - Fundamental Constituents of Matter","FR","PARIS"
312795,2012,1318840,"Starting Grants","SH6 - The Study of the Human Past","PL","WARSAW"
101002696,2020,1998310,"Consolidator Grants","SH6 - The Study of the Human Past","PL","WARSAW"
715861,2016,1499375,"Starting Grants","PE2 - Fundamental Constituents of Matter","BE","GHENT"
341116,2013,2497419,"Advanced Grants","LS4 - Physiology in Health, Disease & Ageing","FI","HELSINKI"
101042738,2021,1768583,"Starting Grants","LS4 - Physiology in Health, Disease & Ageing","DE","Wurzburg"
101088027,2022,1999913,"Consolidator Grants","LS9 - Biotechnology & Biosystems Engineering","DE",NA
758212,2017,1499250,"Starting Grants","LS6 - Immunity, Infection & Immunotherapy","DE","JENA"
638528,2014,1214250,"Starting Grants","PE2 - Fundamental Constituents of Matter","DE","Hamburg"
670115,2014,3000000,"Advanced Grants","PE10 - Earth System Science","DE","Bremen"
247153,2009,2908590,"Advanced Grants","PE10 - Earth System Science","DE","Bremen"
101002652,2020,2446736,"Consolidator Grants","PE9 - Universe Sciences","UK","CAMBRIDGE"
771874,2017,1994326,"Consolidator Grants","SH2 - Institutions, Governance & Legal Systems","FI","HELSINKI"
313100,2012,1476429,"Starting Grants","SH2 - Institutions, Governance & Legal Systems","FI","HELSINKI"
805371,2018,1491493,"Starting Grants","SH4 - The Human Mind and its Complexity","FI","HELSINKI"
101041597,2021,2029368,"Starting Grants","LS3 - Cellular, Developmental & Regenerative Biology","FR","PARIS"
724880,2016,1462304,"Consolidator Grants","SH1 - Individuals, Markets & Organisations ","UK","LONDON"
203636,2007,880224,"Starting Grants","PE5 - Synthetic Chemistry & Materials","FI","ESPOO"
950178,2020,1490887,"Starting Grants","SH5 - Cultures & Cultural Production","EL","Athens"
101002846,2020,1998437,"Consolidator Grants","PE2 - Fundamental Constituents of Matter","FR","Sorbonne"
716974,2016,1500000,"Starting Grants","SH4 - The Human Mind and its Complexity","UK","Bangor"
101117068,2023,1499353,"Starting Grants","SH5 - Cultures & Cultural Production","NL",NA
101043416,2021,1999944,"Consolidator Grants","SH4 - The Human Mind and its Complexity","DK","COPENHAGEN"
947630,2020,1499905,"Starting Grants","PE3 - Condensed Matter Physics","DE","MUNCHEN"
692914,2015,150000,"Proof Of Concept","Proof of Concept","UK","BIRMINGHAM"
313353,2012,993440,"Starting Grants","SH2 - Institutions, Governance & Legal Systems","UK","BIRMINGHAM"
101088317,2022,1999999,"Consolidator Grants","SH5 - Cultures & Cultural Production","IE","Maynooth"
101018262,2020,2499185,"Advanced Grants","SH3 - The Social World and its Diversity","UK","CANTERBURY"
741120,2016,3499270,"Advanced Grants","PE10 - Earth System Science","UK","Norwich"
637920,2014,1498988,"Starting Grants","PE5 - Synthetic Chemistry & Materials","DE","Freiburg"
818473,2018,1999632,"Consolidator Grants","PE8 - Products & Processes Engineering","NL","EINDHOVEN"
101020641,2020,2500000,"Advanced Grants","LS4 - Physiology in Health, Disease & Ageing","UK","LONDON"
322842,2012,2437814,"Advanced Grants","LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions","UK","Bearsden"
743155,2016,2420429,"Advanced Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","FI","HELSINKI"
834728,2018,2280350,"Advanced Grants","PE1 - Mathematics","FI","ESPOO"
268804,2010,2499884,"Advanced Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","FI","HELSINKI"
101045750,2021,1948125,"Consolidator Grants","PE1 - Mathematics","IL","JERUSALEM"
716424,2016,1337200,"Starting Grants","PE1 - Mathematics","DK","COPENHAGEN"
307110,2012,1659478,"Starting Grants","PE10 - Earth System Science","FR","PARIS"
101044779,2021,2206963,"Consolidator Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","ES","BARCELONA"
101039538,2021,1500000,"Starting Grants","LS6 - Immunity, Infection & Immunotherapy","FR","PARIS"
726169,2016,1998250,"Consolidator Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","FR","PARIS"
679799,2015,1498732,"Starting Grants","LS8 - Environmental Biology, Ecology & Evolution","SE","LUND"
789111,2017,1550891,"Advanced Grants","SH1 - Individuals, Markets & Organisations ","FR","PARIS"
101087560,2022,1984779,"Consolidator Grants","SH5 - Cultures & Cultural Production","NO","OSLO"
852977,2019,1500000,"Starting Grants","PE9 - Universe Sciences","SE","STOCKHOLM"
772337,2017,2000000,"Consolidator Grants","SH4 - The Human Mind and its Complexity","NL","NIJMEGEN"
313749,2012,1499530,"Starting Grants","SH4 - The Human Mind and its Complexity","NL","NIJMEGEN"
770939,2017,1721726,"Consolidator Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","UK","LONDON"
639003,2014,1438846,"Starting Grants","PE10 - Earth System Science","UK","OXFORD"
101101050,2022,150000,"Proof Of Concept","Proof of Concept","NL","UTRECHT"
852452,2019,1500000,"Starting Grants","LS6 - Immunity, Infection & Immunotherapy","NL","UTRECHT"
681627,2015,1902235,"Consolidator Grants","PE9 - Universe Sciences","NL","GRONINGEN"
615300,2013,1999360,"Consolidator Grants","LS6 - Immunity, Infection & Immunotherapy","NL","Amsterdam"
818858,2018,2000000,"Consolidator Grants","LS4 - Physiology in Health, Disease & Ageing","IL","REHOVOT"
335605,2013,1399970,"Starting Grants","LS4 - Physiology in Health, Disease & Ageing","IL","REHOVOT"
269804,2010,1900000,"Advanced Grants","SH6 - The Study of the Human Past","FR","PARIS"
725998,2016,1908375,"Consolidator Grants","LS8 - Environmental Biology, Ecology & Evolution","BE","Brussels"
281287,2011,1499863,"Starting Grants","LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions","FR","Paris"
771369,2017,1999329,"Consolidator Grants","PE10 - Earth System Science","FR","PARIS"
850979,2019,1499375,"Starting Grants","PE6 - Computer Science & Informatics","DE","SAARBRUCKEN"
787515,2017,2498887,"Advanced Grants","PE3 - Condensed Matter Physics","DE","Regensburg"
804098,2018,1500000,"Starting Grants","LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions","DE","MUNCHEN"
884116,2019,2497788,"Advanced Grants","SH4 - The Human Mind and its Complexity","DE","Giessen"
279611,2011,1460000,"Starting Grants","PE6 - Computer Science & Informatics","SE","STOCKHOLM"
715132,2016,1499940,"Starting Grants","SH2 - Institutions, Governance & Legal Systems","DE","Potsdam"
101113450,2022,150000,"Proof Of Concept","Proof of Concept","BE",NA
669190,2014,2186400,"Advanced Grants","SH5 - Cultures & Cultural Production","UK","OXFORD"
668998,2014,1678325,"Advanced Grants","PE1 - Mathematics","AT","GRAZ"
101086985,2022,2000000,"Consolidator Grants","PE10 - Earth System Science","NO","Bergen"
323136,2012,2498400,"Advanced Grants","LS4 - Physiology in Health, Disease & Ageing","DE","Jena"
727651,2016,149687,"Proof Of Concept","Proof of Concept","DE","DRESDEN"
267995,2010,1953280,"Advanced Grants","PE3 - Condensed Matter Physics","DE","DRESDEN"
247078,2009,2355079,"Advanced Grants","PE9 - Universe Sciences","DE","MUNCHEN"
757733,2017,1500000,"Starting Grants","PE4 - Physical & Analytical Chemical Sciences","SE","GOTHENBURG"
788259,2017,2500000,"Advanced Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","DE","MUNCHEN"
261053,2010,1499996,"Starting Grants","LS4 - Physiology in Health, Disease & Ageing","DE","MUNCHEN"
833613,2018,2201875,"Advanced Grants","LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions","DE","MUNCHEN"
322869,2012,2498019,"Advanced Grants","LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions","DE","MUNCHEN"
694405,2015,2430000,"Advanced Grants","PE1 - Mathematics","DE","Bonn"
819952,2018,2000000,"Consolidator Grants","LS8 - Environmental Biology, Ecology & Evolution","AT","VIENNA"
337011,2013,1500000,"Starting Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","AT","VIENNA"
263522,2010,887121,"Starting Grants","SH3 - The Social World and its Diversity","AT","Klagenfurt"
726225,2016,1971875,"Consolidator Grants","LS4 - Physiology in Health, Disease & Ageing","IL","TEL AVIV"
101041946,2021,1499465,"Starting Grants","SH3 - The Social World and its Diversity","PL","WARSZAWA"
801747,2018,1493899,"Starting Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","BE","LEUVEN"
948561,2020,2495950,"Starting Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","UK","LONDON"
852730,2019,1499964,"Starting Grants","SH2 - Institutions, Governance & Legal Systems","UK","BRIGHTON"
648693,2014,1973500,"Consolidator Grants","SH2 - Institutions, Governance & Legal Systems","SE","Linkoping"
320733,2012,2749532,"Advanced Grants","PE9 - Universe Sciences","FI","HELSINKI"
306447,2012,1491090,"Starting Grants","PE3 - Condensed Matter Physics","AT","VIENNA"
101069446,2022,150000,"Proof Of Concept","Proof of Concept","FR","LE CHESNAY CEDEX"
683032,2015,1885248,"Consolidator Grants","PE6 - Computer Science & Informatics","FR","LE CHESNAY CEDEX"
259639,2010,1406726,"Starting Grants","PE6 - Computer Science & Informatics","FR","LE CHESNAY CEDEX"
101122970,2023,150000,"Proof Of Concept","Proof of Concept","DE",NA
851768,2019,1499375,"Starting Grants","PE8 - Products & Processes Engineering","DE","Berlin"
648785,2014,1853158,"Consolidator Grants","PE6 - Computer Science & Informatics","DK","COPENHAGEN"
101003052,2020,1999752,"Consolidator Grants","PE4 - Physical & Analytical Chemical Sciences","DK","COPENHAGEN"
101116418,2023,1497981,"Starting Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","SE",NA
